family,variant,mb,ratio,kl_bits,ppl,ppl_delta
SVD,r=8,0.688128,4.571428571428571,0.2116036227080518,9.378507809725006,15.46669129410337
SVD,r=16,0.98304,3.2,0.03024187507181333,8.358712223773493,2.911130804613799
blend,top-2 weights,3.145728,1.0,0.1288842303942762,8.697985170191789,7.0882051711670995
field,r=8,0.4352,7.228235294117647,0.18234456231290727,9.248899653292632,13.870976358252227
